match_id,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time
2001400694,True,1450069239,898,2047,2046,63,63,83
2001394362,True,1450068932,1390,1983,256,63,48,2
2001390473,False,1450068753,1569,0,2047,0,63,143
2001390318,True,1450068725,1630,2047,256,63,48,1
2001389600,True,1450068704,1093,2047,388,63,51,138
2001389000,False,1450068664,723,448,2047,48,63,0
2001387982,True,1450068625,1968,1852,6,63,3,143
2001387742,True,1450068622,1063,2047,1974,63,63,192
2001387185,True,1450068585,1586,1983,6,63,3,129
2001386960,True,1450068575,1674,1975,6,63,3,13
2001385642,False,1450068495,1684,0,2046,0,63,0
2001384753,False,1450068458,1803,0,2038,0,63,103
2001384423,True,1450068426,1816,1983,384,63,48,157
2001383943,True,1450068412,1833,1844,390,63,51,23
2001383285,True,1450068375,2151,1983,0,63,0,4
2001382832,True,1450068362,1452,1972,391,63,51,0
2001382715,True,1450068358,1832,1975,384,63,48,38
2001382402,False,1450068349,1994,256,1983,48,63,83
2001382266,False,1450068345,2088,0,1982,0,63,52
2001381909,False,1450068324,1200,0,2047,0,63,76
2001381719,False,1450068301,1932,0,1983,0,63,55
2001381444,False,1450068296,2033,0,2046,0,63,134
2001380919,False,1450068269,1922,0,1972,0,63,40
2001380636,True,1450068258,1963,1982,256,63,48,5
2001380507,False,1450068247,2122,0,1974,0,63,77
2001379559,True,1450068190,1368,2047,0,63,0,7
2001379127,True,1450068179,2325,2039,0,63,0,61
2001378954,True,1450068171,1169,2039,256,63,48,1
2001378906,True,1450068163,1500,2038,32,63,12,97
2001378902,True,1450068170,2199,2038,0,63,0,157
2001378796,True,1450068153,1418,1983,256,63,48,7
2001378739,True,1450068157,1635,1982,0,63,0,469
2001378285,True,1450068138,1545,1982,0,63,0,63
2001377966,True,1450068118,1588,1975,256,63,48,6
2001377766,False,1450068081,1877,0,1975,0,63,75
2001377504,False,1450068095,2244,4,1972,3,63,3
2001377359,False,1450068096,2203,0,1974,0,63,42
2001377295,True,1450068093,2324,1847,0,63,0,117
2001377171,True,1450068083,1953,1974,0,63,0,132
2001376619,True,1450068057,1688,2047,0,63,16,542
2001376435,False,1450068036,2135,260,1846,51,63,189
2001376240,True,1450068035,2209,2038,0,63,0,4
2001375993,True,1450068025,2385,1974,256,63,48,149
2001375937,False,1450068008,2154,0,1974,0,63,12
2001375773,False,1450068008,2318,6,1848,51,63,91
2001375645,False,1450068003,2170,0,1974,0,63,81
2001375441,True,1450067988,2005,1974,0,63,0,174
2001375094,False,1450067956,1916,4,2038,3,63,92
2001375031,True,1450067975,2495,1846,0,63,0,13
2001374907,False,1450067966,2423,0,1844,0,63,88
